Frequency (GHz), S1:1 (dB), S1:1 (rad)
9.537350037754657173e-01,-1.555442981666403527e-03,-2.175010743383590517e-01
9.569462327444067107e-01,-1.578681168006033095e-03,-2.182540459339500638e-01
9.601574617133477041e-01,-1.600498046139753588e-03,-2.190071810353728665e-01
9.633686906822886975e-01,-1.620890011913283992e-03,-2.197605719222382181e-01
9.665799196512295799e-01,-1.640230992415057367e-03,-2.205142985891630492e-01
9.697911486201705733e-01,-1.659165901530854081e-03,-2.212684090419470839e-01
9.730023775891115667e-01,-1.678432820362745718e-03,-2.220229086625675197e-01
9.762136065580525601e-01,-1.698664890092008682e-03,-2.227777615439855696e-01
9.794248355269934425e-01,-1.720228510622588561e-03,-2.235329032129542981e-01
9.826360644959343249e-01,-1.743143354830306579e-03,-2.242882608547902001e-01
9.858472934648753183e-01,-1.767105247578636129e-03,-2.250437750139152593e-01
9.890585224338163117e-01,-1.791602458573206096e-03,-2.257994164034021756e-01
9.922697514027573051e-01,-1.816088565232121515e-03,-2.265551930088794130e-01
9.954809803716982985e-01,-1.840158935758370688e-03,-2.273111456394456831e-01
9.986922093406391809e-01,-1.863677802312524575e-03,-2.280673335587339312e-01
1.001903438309580174e+00,-1.886818709263918172e-03,-2.288238147714598825e-01
1.005114667278521168e+00,-1.910007892902442330e-03,-2.295806270634879187e-01
1.008325896247462161e+00,-1.933789657836118038e-03,-2.303377755532171056e-01
1.011537125216402933e+00,-1.958656085508159606e-03,-2.310952304353620090e-01
1.014748354185343926e+00,-1.984893454488087083e-03,-2.318529354390009567e-01
1.017959583154284919e+00,-2.012491693984541207e-03,-2.326108242576319929e-01
1.021170812123225913e+00,-2.041143114905817537e-03,-2.333688398387964436e-01
1.024382041092166906e+00,-2.070328928736269933e-03,-2.341269506577095816e-01
1.027593270061107900e+00,-2.099465318686811761e-03,-2.348851591535098260e-01
1.030804499030048893e+00,-2.128063309436548783e-03,-2.356435000248070233e-01
1.034015727998989886e+00,-2.155853678489067123e-03,-2.364020292603656315e-01
1.037226956967930880e+00,-2.182840379636407941e-03,-2.371608076212928518e-01
1.040438185936871873e+00,-2.209269362453874022e-03,-2.379198839092233897e-01
1.043649414905812645e+00,-2.235526757496266066e-03,-2.386792832580102441e-01
1.046860643874753638e+00,-2.262002543416802378e-03,-2.394390039249805757e-01
1.050071872843694631e+00,-2.288966019611430019e-03,-2.401990232082333310e-01
1.053283101812635625e+00,-2.316494487879256631e-03,-2.409593100977746039e-01
1.056494330781576618e+00,-2.344478130233226647e-03,-2.417198400524315227e-01
1.059705559750517390e+00,-2.372698096877074846e-03,-2.424806065984573822e-01
1.062916788719458383e+00,-2.400949675994947831e-03,-2.432416255038456487e-01
1.066128017688399376e+00,-2.429166291005636653e-03,-2.440029297686556187e-01
1.069339246657340370e+00,-2.457498351559259803e-03,-2.447645567987208892e-01
1.072550475626281363e+00,-2.486314523809689953e-03,-2.455265318937776553e-01
1.075761704595222135e+00,-2.516117771499750810e-03,-2.462888536754373192e-01
1.078972933564163128e+00,-2.547396869891886337e-03,-2.470514867860358899e-01
1.082184162533104121e+00,-2.580457018570292849e-03,-2.478143651429663141e-01
1.085395391502045115e+00,-2.615283179800923646e-03,-2.485774058265221576e-01
1.088606620470986108e+00,-2.651483216473105552e-03,-2.493405302844670379e-01
1.091817849439927102e+00,-2.688336245497081368e-03,-2.501036870103442999e-01
1.095029078408868095e+00,-2.724941033231802114e-03,-2.508668690102383025e-01
1.098240307377809089e+00,-2.760428827524771898e-03,-2.516301205318929868e-01
1.101451536346750082e+00,-2.794184014373913855e-03,-2.523935304035667126e-01
1.104662765315691075e+00,-2.826011023346043215e-03,-2.531572131028265171e-01
1.107873994284632069e+00,-2.856198897938928838e-03,-2.539212822438244310e-01
1.111085223253572840e+00,-2.885462456168794241e-03,-2.546858234726011583e-01
1.114296452222513834e+00,-2.914773167437631745e-03,-2.554508740920104493e-01
1.117507681191454827e+00,-2.945123855809167468e-03,-2.562164149750237874e-01
1.120718910160395820e+00,-2.977290055849669565e-03,-2.569823769591033091e-01
1.123930139129336814e+00,-3.011651801847444517e-03,-2.577486599114818255e-01
1.127141368098277807e+00,-3.048122529267075810e-03,-2.585151591708864105e-01
1.130352597067218801e+00,-3.086201595203660886e-03,-2.592817921077623100e-01
1.133563826036159572e+00,-3.125132465794204940e-03,-2.600485176556459055e-01
1.136775055005100565e+00,-3.164119831856182855e-03,-2.608153437944935593e-01
1.139986283974041559e+00,-3.202543992242583640e-03,-2.615823214682461151e-01
1.143197512942982330e+00,-3.240113811109988397e-03,-2.623495272579970949e-01
1.146408741911923324e+00,-3.276919138211785865e-03,-2.631170401930732483e-01
1.149619970880864317e+00,-3.313373671310205007e-03,-2.638849195000378400e-01
1.152831199849805310e+00,-3.350070788040292007e-03,-2.646531895011660640e-01
1.156042428818746304e+00,-3.387598637279278305e-03,-2.654218355160229414e-01
1.159253657787687297e+00,-3.426370070182423004e-03,-2.661908112446511598e-01
1.162464886756628291e+00,-3.466515611720067704e-03,-2.669600547497689158e-01
1.165676115725569284e+00,-3.507866458390654970e-03,-2.677295078024789499e-01
1.168887344694510277e+00,-3.550026314455745693e-03,-2.684991326711285708e-01
