Frequency (GHz), Theta Pol: Theta=90.0 & Phi=180.0 (dBsm), Theta Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Einc - phase centered at ff origin), Phi Pol: Theta=90.0 & Phi=180.0 (dBsm), Phi Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Einc - phase centered at ff origin)
2.524025996334840816e+00,-3.114425322181222455e+01,-1.695558227855612277e+00,-1.836337096072586235e+02,8.030600399790426280e-01
2.543293370352663896e+00,-3.103342170559414726e+01,-1.698848261630457879e+00,-1.833420287187614406e+02,7.381251966260525821e-01
2.562560744370487420e+00,-3.092421423748188758e+01,-1.702184452305184559e+00,-1.830561660753816966e+02,6.752070641590101063e-01
2.581828118388310500e+00,-3.081662957169011818e+01,-1.705566258120450263e+00,-1.827785368683084073e+02,6.142030953170343199e-01
2.601095492406133580e+00,-3.071066683200591640e+01,-1.708993092374719192e+00,-1.825110942116920967e+02,5.550858192304950478e-01
2.620362866423956660e+00,-3.060632549440060401e+01,-1.712464320729514267e+00,-1.822551267149218859e+02,4.978816339920635325e-01
2.639630240441780185e+00,-3.050360535907281090e+01,-1.715979258464675805e+00,-1.820111663784190910e+02,4.426405506375546972e-01
2.658897614459603265e+00,-3.040250651292869932e+01,-1.719537168304420716e+00,-1.817790237349639426e+02,3.894034685316285493e-01
2.678164988477426345e+00,-3.030302928601230761e+01,-1.723137259288279877e+00,-1.815579433410258048e+02,3.381736078119836342e-01
2.697432362495249869e+00,-3.020517420691124144e+01,-1.726778686893167825e+00,-1.813468506107984410e+02,2.888977865355025210e-01
2.716699736513072949e+00,-3.010894196230644226e+01,-1.730460554298165032e+00,-1.811446428300711489e+02,2.414613568838006874e-01
2.735967110530896029e+00,-3.001433336460661749e+01,-1.734181914406702107e+00,-1.809504663673526466e+02,1.956979022111355049e-01
2.755234484548719553e+00,-2.992134932937055325e+01,-1.737941772074307112e+00,-1.807639226211969685e+02,1.514116032674413803e-01
2.774501858566542634e+00,-2.982999086159400193e+01,-1.741739085975300583e+00,-1.805851594242240594e+02,1.084072176602487586e-01
2.793769232584365714e+00,-2.974025904763079708e+01,-1.745572769678962910e+00,-1.804148305576903510e+02,6.652075705892600277e-02
2.813036606602189238e+00,-2.965215504813627589e+01,-1.749441691754500594e+00,-1.802539370260949170e+02,2.564383161195622762e-02
2.832303980620012318e+00,-2.956568008731182928e+01,-1.753344675015747978e+00,-1.801035907453588720e+02,-1.426368674200765956e-02
2.851571354637835398e+00,-2.948083543489157066e+01,-1.757280495272220300e+00,-1.799647569161181480e+02,-5.317512294871185041e-02
2.870838728655658922e+00,-2.939762237940812994e+01,-1.761247880105648367e+00,-1.798380327631261650e+02,-9.101178088465812499e-02
2.890106102673482003e+00,-2.931604219372620790e+01,-1.765245508202047953e+00,-1.797235093384860818e+02,-1.276674805972838611e-01
2.909373476691305083e+00,-2.923609609597867731e+01,-1.769272009638935383e+00,-1.796207439689676164e+02,-1.630374501812864585e-01
2.928640850709128163e+00,-2.915778521031736759e+01,-1.773325967293136962e+00,-1.795288479811937066e+02,-1.970454309606675669e-01
2.947908224726951687e+00,-2.908111053197742635e+01,-1.777405919261375811e+00,-1.794466709716893149e+02,-2.296632150110561044e-01
2.967175598744774767e+00,-2.900607290005315875e+01,-1.781510361946840204e+00,-1.793730422276568959e+02,-2.609182769551574022e-01
2.986442972762597847e+00,-2.893267297941320138e+01,-1.785637753323201293e+00,-1.793070157405135774e+02,-2.908875934714116318e-01
3.005710346780421371e+00,-2.886091125088704601e+01,-1.789786515878608597e+00,-1.792480618600108926e+02,-3.196788332066241578e-01
3.024977720798244452e+00,-2.879078800685170236e+01,-1.793955038865626017e+00,-1.791961589296832926e+02,-3.474031785347247991e-01
3.044245094816067532e+00,-2.872230334816574171e+01,-1.798141679703136431e+00,-1.791517613509085152e+02,-3.741462309994609825e-01
3.063512468833891056e+00,-2.865545717833598971e+01,-1.802344764632232366e+00,-1.791156507708777781e+02,-3.999440219724227918e-01
3.082779842851714136e+00,-2.859024919185482716e+01,-1.806562588950801018e+00,-1.790887057525668524e+02,-4.247698817482225553e-01
3.102047216869536772e+00,-2.852667885551054283e+01,-1.810793417282054119e+00,-1.790716442850940666e+02,-4.485352267025374817e-01
3.121314590887360296e+00,-2.846474538363558437e+01,-1.815035484337318206e+00,-1.790647986151019779e+02,-4.711040229645351296e-01
3.140581964905183376e+00,-2.840444771013477165e+01,-1.819286996513894694e+00,-1.790679734866579622e+02,-4.923176129031059944e-01
